"reviewText"	"summary"	"review"
"I have been using this product for one month, twice a day.  I have not noticed anything different about the coloration of the areas that I have been applying it to.  I do notice that my skin is smoother, but I do hope some of my discolorations go away.  At the beginning of the summer I spent an entire day at the beach, and got a nice raccoon mask tan.  Of course I had high SPF sunscreen and a big hat on, but all of that reflective sunlight just trumps all of that.I have medium olive-toned Asian skin.  This product may be different for different skin types and ethnicities.  I am unsure of what the main active ingredient is in this product, but on the box it says that \"this concentrated treatment hydrates to improve overall skin for more even skin tone while micro exfoliation helps remove dullness for brighter skin\".  One of the first ingredients is Niacinamide, which is vitamin B-3.  I don't know what it is supposed to do for skin improvement.This product comes packaged in a plastic bottle with a dropper.  It's nice because it is easy to get a small amount of product without wasting it.  Many times with a pump dispenser, too much product comes out.  The amount of product in this 1.3 ounce bottle should last a while, as you don't need a lot of it unless you are applying it to your entire face.  I am concentrating on the upper part of my cheeks, which is a contained triangular area that points down to my laugh lines.  I don't know when I can expect to see visible results, I will edit my review if I begin to notice changes in the coming weeks."	"Not sure when I'm supposed to start seeing results"	"neutral"
"I cannot comment on the overall effectiveness of this product, because I didn't make it that far. When I applied the mask to my face, I instantly became nauseous due to the wretched smell of this stuff. It literally smelled like a diaper pail. I had to take it off right away because the smell was so horrid, and I washed my face three times afterwards until I couldn't smell the foul odor anymore. It's possible I got a bad batch, but I don't plan on shelling out another $69 to find out."	"Horrible!"	"bad"
"Fairly sheer, slightly moisturizing for normal/oily skin. Good price vs, Skinceuticals brand. I will continue to use this for a few months and will update when I have more time to asses how well it protects my skin. I really miss my Skinceuticals spf 45, which has been discontinued and was more 'matte' in terms of sheen, hence the 4-star rating, not 5. Why must they always ruin a good thing for me?!!!"	"GOOD FOR THE PRICE"	"good"
"I've been using Olay moisturizers for years and have been very happy with them.  They are consistently good for the price.  This one is about half the price of what I normally pay for the Olay product that I've used for years.  I actually got this for my mother who complains about dry facial skin all of the time.  She's older, and using Olay daily lotion, but after reading the description I thought that maybe this might be good for her to put on at night.  For her it didn't seem to make any difference, so I decided to try it.I used it at night, since it says you'll wake up with refreshed skin.  I thought it felt a bit sticky going on and took longer to absorb than the other lotions that I use.  After it dried I did feel that my skin was a bit tight, almost like it was a very thin mask on my skin.  I don't know if I used to much or what, either way I didn't really feel like it did much for me either.Clearly I think this is marketed to younger women (teens-twenties) who are looking for a product that is a light moisturizer that won't make your skin breakout and will hydrate it a bit.  It's packaging, marketing and pricing are geared towards this market...of which I am not one, LOL.  I like Olay products, but I think that the Olay Fresh Effects Dew Over is only for fresh faced lovelies that are under 25 :)"	"Sticky & Not As Mosturizing as other Olay products"	"neutral"
"It is very hard to get my hair to stay (I have long hair).  I had my husband try to help me, and he couldn't get it to work either.  Don't waste your money."	"hard to use"	"bad"
"I have always thought the decanter holding the precious liquid was pretty but I was unprepared how gorgeous and mesmerizing this scent was going to be. From the moment I rubbed the tester from a magazine my nose was in love. Five minutes later I ordered a big bottle off the internet and it arrived a few days ago, and I still cannot part with the scent. I even spray it on to go to bed, the sheer fact how warm and softly scented my sheets are in the morning makes it hard to get up to work. This scent melts into the skin, the musky cr&egrave;me brulee base is topped with juicy crimson watermelon, glowing mandarin, apples, fresh aquatic hyacinth, royal smelling lily and precious woods that give it a soft and spun like quality to the scent. I often find myself inhaling the aroma through the day, catching whiffs of my warm body and they escape up and away.This fragrance is truly delectable with a softly scented melange of fruit and musky vanillas that really smells delicious and not like a fruit cake that so often is the result of perfumers going on a sugar coated overload. The scent is almost an aphrodisiac, a meteor shower raining down the inky sky with fluorescent flavors. This is my favorite new fragrance along with Estee Lauder's Beyond Paradise and I wear it from morning after my shower until the stars spear the sky and I lull myself to sleep. It's breathtakingly beautiful and so fragrant that my nose might never get over it, no wonder this perfume is so hard to find!Notes: Watermelon, Mandarin, Pink Passion Fruit, Marigold, Green Apple, Water Hyacinth, Crushed Leaves, Tuberose Absolute, Wild Rose, Princess Lily, Tuberose, Caramel Creme Brulee, Vanilla, Precious Woods, Patchouli.- Kasia S."	"Kingdom of true beauty"	"good"
"Decent smell, cheap price.... Overall just OK.  Doesn't last very long on skin, stays a little longer on clothing."	"Its OK"	"neutral"
"While I agree that this spray smells nice and holds well, it leaves my hair looking very dry and dull.  I have medium blonde hair and it has no shine whatsoever after using."	"Dulling for blonde hair"	"bad"
"High quality dotting tools.  These are exactly the same type of dotting tools you'd get at a beauty supply store for far less than you'd pay at a register.  The various sized tips are great for a wide variety of designs.  The acrylic handles are durable and beautiful.  This is a must-have set for any home nail artist!*Extremely fast shipping from this seller.  I placed my order in the third week of Nov. and did not expect my order until the first week of Jan. 2014 as these ship from China.  I received them Dec. 2nd!  Amazing!  I highly recommend not only the product, but also the seller.*"	"High quality dotting tools.  A must have for any home nail artist."	"good"
"way way to oily  but does remove makeup even stubborn eyeliner pretty much feels like baby oil on a wipe"	"hmmm on the fence"	"neutral"
"This is a gimmick, and I am embarrassed to say that I fell for it. It was not very effective in covering my root color, and I would recommend using this only in an emergency. I don't know why I just didn't buy another pkg of hair color and just do my roots.  At least I would have received the conditioner that comes in the pkg.  This Root Touch Up by Clairol did not have that and it was sorely missed."	"disappointed"	"bad"
"I have been using Pond's Dry Skin cream every winter for several years, especially when my face needs an extra boost of moisture all over. My oily skin still gets flaky and has dry patches in the winter, and this moisturizer takes care of that problem immediately. In the morning, my skin is smooth and flake free. I only use this at night because for my skin it is a bit heavy for use under make-up. Perhaps someone with very dry skin can use it under make-up as well. This is my favorite night cream and the price is unbeatable. A definite must have for me."	"Perfect Winter Night Moisturizer!"	"good"
"Used it onces. Its ok, it gave the nail design a different look. Now there are nail polishes with glitter included so i use it very little."	"Colorful"	"neutral"
"I tried these several times but they just could not get my gel polish off.  Didn't even get the top coat.  They soak up the remover too much, I mean that's great if I wanted to use them like a brawny paper towel, but for gel polish remover, it made them useless."	"Didnt work"	"bad"
"I think this was more of a red color I was looking for it to be a little more peachy or pinkish"	"red?"	"good"
"I do not like a brush, if you are fine with the bronzer itself you might want to use another bronzer brush."	"Dry bronzer"	"neutral"
"I wanted so bad to like this product... but it's awful! The first day I used it, it burned like a wildfire and caused me to break out. The next day I used it (less of it- put on thinner) I broke out in mini hives all over my face and neck! The overnight peel they recommend you use with it did NOT break me out... in fact it was making my complexion more even until I tried the clinical lotion. It's not oil free and if you have sensitive skin, run FAR away from this product and save your skin, sanity and your $$$ because it isn't cheap!"	"my face felt like it was on FIRE!"	"bad"
"I bought the John Frieda Precision Foam Colour, Deep Brown Black 3N for my sisters and friends. They like it."	"I love it"	"good"
"Didn't see any improvement while using this product. Will try to find something else that will help tighten up facial skin."	"No firming effect"	"neutral"
"This is very small"	"Tiny little tape"	"bad"
"what to say its a very hight quality product it makes your face as a baby skin , easy to use at home"	"good for profeccional usa and at home"	"good"
"What is it?Dove Men+Care Hydrate + Shave Gel is a shaving gel specially formulated to tend to dry skin and help alleviate irritation associated with shaving dry skin.Why do I need this?Um, why else do you need all shaving gels and creams? So you know where you've already shaved. However, for this certain product, it claims to be specially made for people who have dry and easily irritated skin.What's in the tube?It's your average shaving gel can, coming in at 7 ounces.How does it feel?It's a gel alright. I will say that it comes out of the dispenser a little more foamy than other shaving gels. So you really don't have to put much effort into it to lather it up. A little bit goes a long way as it spreads easily.How does my skin feel after using this product?So here comes the difficulty in rating this product, my morning routine. I have a morning routine that involves washing my face before I shave. I've been doing this for about 20 years or more, as spoken from the noble Prince of Fresh...\"If it ain't broke, then why try and fix it...SUMMER SUMMERTIME\" Ironically enough, I've been using Dove facial soap for most of those years. So can I honestly tell you if it feels smoother than it did before? No, I noticed no real difference after using this product. Again, I know I can't be alone in having a morning routine, and shaving can't be the first or last thing on the routine, but always in the middle.How does it smell?Like shaving gel. Sorry bacon lovers, it looks as if you'll have to wait another year for bacon-scented shaving gel.Is there anything better?Yes, but The Art of Shaving website is kind of expensive for my tastes. So let's stick to supermarket and drugstore brands. For a man who has been shaving his head for over 10 years, I have found that if you have irritated skin, the key ingredient you want to look for in your shaving gel or cream has to be shea butter. Also, you could look into aloe vera, but it's hard to impossible to find a shaving gel with those two ingredients. However, Gillette Fusion ProGlide has shea butter, and I've found it cheaper than Dove's option. Again, anything more than that, and you're looking at salon or specialty shops.For the money, is it worth it?So going back to what I said previously about morning routines...because of my morning routine, any effects provided by this shaving gel are either added upon or taken away from because of my routine. So it's really hard to say if the cost of this product is justified by the benefits it provides when I'm not really certain of the benefits it provides. Do I have the facial hair removed? Yes. Is my skin soft-ish? Yes. Do I get the occasional ingrown hair or shaving bump? Yes, but, that could be more or less attributed to the razor blade getting dull. So really, it's hard to tell if this product is worth the price. I'm going to say if you stop by the store, and you see it at a club card price or at Costco, and you can get a case where the price per unit is decent, go for it.Will I get this product again?Again, unless it's on sale, most likely not. I'm going to stick with the Gillette Fusion ProGlide with shea butter. Honestly, I really don't see a difference, as I think a lot of the factors of skin care rely on the quality of the razor, and the other skin care regiment."	"Questions Answered: Dove Men+Care Hydrate + Shave Gel"	"neutral"
"This leave-in conditioner actually made my hair very dry. I also noticed some breakage while using this product. Extremely disappointed!!!&#34;"	"Wasn't Nourishing at all  !!!!!"	"bad"
"This is a great, inexpensive foundation. It covers well but is not heavy.  The makeup will last all day on me, and lasts even through an aerobic workout.  It does not rub off easily, and you will need a good cleanser to clean your face of this foundation.  The foundation has several shades to pick from, and I found a shade that blends with my skin tone very well. I use a damp sponge to put on the foundation and blend it in.  The make up is very natural looking, evens out my skin tone, covers well but sits lightly on my face.  I have bought this make up several times, and will probably continue to buy it.  I would recommend this make up as good, long lasting coverage that is not heavy."	"Great foundation!"	"good"
"This is a nice color but it doesn't go on evenly or smoothly like the Gelish brand. It's fine enough for a base coat under a glitter coat but I don't think you could get away with any less than 3 coats if you're using it just for a solid color."	"Okay but not great"	"neutral"
"dont even try to shapen it, its a pain in the ass. not waterproof at all. just a normal eyeliner pencil. meh"	"dont even try to shapen it, its a pain ..."	"bad"
"I love that it came with so many different colors, only downside is that it takes FOREVER to get to you."	"LOTS of jewels for a good price!"	"good"
"I haven't noticed much of a difference in my hair being less frizzy or anything magical, but after I use the product, it does make my hair very silky for the day.  I am disappointed because I typically use standard conditioner, and this product makes my hair feel almost the same as if I just used a ton of my standard conditioner and left it in for a couple of minutes before rinsing.  I use it once a week as recommended by the container.  While the product smells nice and does seem to work like conditioner, I don't notice it doing anything else, so I think I'll just stick with my normal conditioner routine once I run out of product."	"Okay product, but nothing magical - same as conditioner"	"neutral"
"I bought it as an original Naked palette but when it is arrived it was fake and this is a bad way to sell a fake palette as the original and also the price is the same as the original although it is fake."	"I hate the fake Naked palette"	"bad"
"This is a really great color.  A nice berry sort of color.  I'm very fair skinned, and it compliments me nicely.  One thing I did notice, as with some other Gelish colors, is that it &#34;runs&#34; so I can only do about two nails at a time.  If I do all four or five nails, the first two look horrible due to the color migrating away from the cuticle.  Once I painted two at a time, with some minor touchups at the very end of painting all ten, it looked great.  I had no problems with the wear."	"Great color...."	"good"
"It was an okay cream. Very creamy. You have to remix it because  the oils separated. I've bought better homemade calendula creams on etsy."	"Okay"	"neutral"
"This product did not work well for me. I did, however, notice that although my nails did not grow longer, they did not chip and split as much. I would have given this product at least 3 starts for that fact, except that the bottle was half empty when I received it. I did not get the promised .45 oz."	"not effective"	"bad"
"The quality is so much better than powders I've tried here in the US. It doesn't look cakey, doesn't settle into lines, and keeps my face from looking oily throughout the day. Probably a new HG product for me."	"Love love love this"	"good"
"It's kind of sticky imo. And I haven't noticed that it really does anything. Not sure if I would repurchase."	"Okay"	"neutral"
"I wanted something to fill in my nail ridges without exposing me to harsh chemicals. This does that. Unfortunately, it seems to have caused my nails to peel! Fail!!"	"Makes my nails peel!!"	"bad"
"Very hydrating serum. Love it! Smells like candy,but the smell dies down after a couple of minutes.  It's supposed to be used before you moisturize.  I use it alone,only where I feel dry instead of eight greens serum.  If I'm feeling dry,I put moisturizer on top.  Must try!"	"Like a drink of water for my skin"	"good"
"The buffing brush is a must have. Best brush ever invented. You don't even know how good your makeup will look. The bronzing brush is effective but nothing to write home about. The detailed brush is just stupid small. I would've paid this price for just the buffing brush, so I consider the others freebies. If you don't have other brushes, this is a good starter kit. I'm married to my Chanel blush brush and MAC bronzing brush but for foundation the buffing brush is a must have. Only 3 stars because the other brushes are in my makeup graveyard of spares."	"The buffing brush is the best, others not necessary"	"neutral"
"It smells like Happy By Clinque but with a more earthy smell to it.  This is not for me and I would not ever buy another bottle.  But on a good note, I love 360 Pink, IT IS MY FAVORITE.  So not all the Perry Ellis's are on my Hit List."	"Don't Care for this at all"	"bad"
"I was a little nervous to review this product since I was worried that based on what I've seen on commercials, the scent might be overpowering. Thankfully, those fears were unfounded. When sniffing the product in the tube the scent is strong, but barely detectable once applied to the hair. In my case, that was a positive, though I could see someone who wanted a pronounced scent being disappointed. As other reviewers have mentioned, it does what it intents to do and well. It held a style well and without looking heavy, crunchy or shiny. Even better, it made for hair that still looked great the next day, which is uncommon with most styling products.  Compared withGarnier Fructis Style Disorder Power Gel, 9 Fluid OunceI actually thought it worked better which I wasn't expecting.  Overall I think it is very effective and a great hair styling product."	"Works even better than Garnier Fructis Style Disorder Power Gel"	"good"
"I recently bought 5 of those at the local Dollar Tree store. In 3 different designs too.  Therefore, paid less for five of them than I would for one on Amazon.Hence, the advice - check your Dollar Tree stores first!"	"That is cute and all, but"	"neutral"
"I just ordered this shampoo from Amazon.com, but I will not be accepting the package. Beware!!! It states that shipping will be five dollars and some change but they're charging twenty dollars instead. I will not be ordering from Target again."	"Ten dollar shampoo for Thirty"	"bad"
"Like many of you, I dove right into the Pinterest craze of sock buns and home decor.Considering myself to be adept at traditional ballet buns (i.e. lots of bobby pins), I loved the perfect bun I could (occasionally) achieve with the sock technique.The problem is that not all socks are the same.  When I lost my &#34;magic&#34; sock, I found this guy-- the Soft 'N Style Hair Donut Black.  I think it might be even better.  Unlike the socks (magic or otherwise), this thing actually grips your hair.  I should mention that I have fine, straight hair that can be on the slippery side.  Also I feel like I can get a much tighter bun with the donut, and so far it hasn't stretched out at all.To use:  pull dry hair into a pony tail, feed tail through middle of donut, slide donut toward end of the tail (leaving a couple of inches), wrap the ends around one side of the donut, and begin simultaneously rolling down and stuffing your hair under.  Your hair will typically spread itself around the donut on it's own as you roll/stuff.  Works like a charm!"	"Even better than a sock!"	"good"
"It took some time, like a long time to arrive but it looks like the picture. I haven't used it yet. So I can't comment on the quality. Will do a follow up."	"No complaints"	"neutral"
"I ordered a handful of different creams to experiment with, and this is the one that I've found least compelling. I've actually gotten up from bed to wash it off as it was burning me. Maybe--- maybe the burning/stinging is somehow a good thing, but it made me nervous (and, of course, hurt a bit!). I've read that retinol is not suggested for people under 40 or maybe 45 and maybe it's just a mismatch between me and the product. Hence, why I was experimenting!"	"Stings"	"bad"
"Love this product! It goes on light w.o. any color and does help matte your skin. Truly fantastic"	"amazing"	"good"
"I have really brittle nails that tend to break and peel easy.  I got this in high hopes that it would work good for me, but after using up the whole bottle, as directed, I don't notice a difference.  I am thinking of getting another bottle and seeing what the results are after two months of use.  But so far the only thing that makes me happy about these vitamins is the flavor.  They're pretty tasty."	"They're just okay."	"neutral"
"I'm really surprised after seeing the amazing reviews these brushes got that I didn't like them. They feel cheaply made and they are already shedding. The brushes I am not impressed with are the 3 larger brushes for powder and bronzer. I think with this product, I got what I paid for."	"not a fan"	"bad"
"I am almost through my second month of taking Viviscal, and I can honestly say that I have seen very positive results.  Just the other day, I wanted to run a comb through my hair and couldn't do it!  It is a fine, tooth comb that I normally use when I am going to use my curling iron. At first I thought my hair was dirty with too much product but then realized I had just washed my hair the day before. My hair is fuller and is growing faster.  I intend to continue using this product.  After my chemotherapy experience (8 years ago), my hair was never the same.  Loving my thicker hair!Update on my previous post.  I am almost at the end of my 6 month trial.  And although I have not appreciated the cost increases of the product over this time, I am still very impressed with the results.  I will continue to use it for a few months more and then change to the Viviscal \"nourish\" tablets.  But I want to be clear, not everyone has noticed that my hair is thicker but I have received a few comments. Having said that, my opinion is the only one that matters and I love it!"	"Definitely impressed with results"	"good"
"This stuff is surely not made for anyone who has to wash their hands numerous times during a day. I am an RN, in an ICU and I brought this to work with me to get a number of opinions. We all came to the same conclusions: It is a little greasy going on; absorbs pretty well but leaves a sticky feeling for a short while; It doesn't last through the first handwashing after you've used it; great scent and package.All in all, I would recommend this for home use only for the above stated reasons."	"Okay for home use.... but......"	"neutral"
"Only complaint is that this dried out my skin and irritated my skin even more!:(  I have dry sensitive skin and this did not work well with it! Had to throw it away because it was so bad for my face! Didn't work for me..."	"Dried Out My Skin"	"bad"
"The Professional 4 pcs Gold Eye Brushes are great for blending out that eye shadow. They are soft, and made well. Want another set already. :)"	"!Professional 4 pcs Gold Eye"	"good"
"Sorry, I wish I could rate this higher.My skin is combination, sensitive and acne-prone.  After reading so many great reviews of this soap, I took a chance - I mean, for the price, why not?  I used this for 3-4 months and I liked it quite a bit when I started using it.  My skin felt really clean and refreshed, but over time, I noticed my skin drying and it started to burn (no, I did not start using a new beauty product).Gave this a 3-star rating due to how my skin reacted.  However, it did clear up some of my acne and my face felt really cleansed.  This soap did not damage my skin, so it went back to normal after I stopped using it on my face. I use it on the rest of my body and I don't have the same reaction I did when it was on my face.  Go ahead and try it if your curious. The price is great and others really seem to benefit, so it could work for you."	"Irritated & dried my sensitive skin"	"neutral"
"My skin used to tolerate all kinds of harsh chemicals, however I guess with age it's gotten more sensitive. I thought this product would help clear out my congested pores but it gave me a horrible bumpy red rash instead. If your skin is very oily it might work for you, but any other skin types should be wary of using this product!"	"Probably only good for very oily skin"	"bad"
"I really like this hair clip, it is heavy and high quality and comes as described.  Made out of brass and is shipped pretty quickly considering it's coming from China."	"great product"	"good"
"This gum makes makes my hair stay in place nicely. A little goes a long way and it gives me the look I like. It smells a little strong and if you get sweaty/wet at all the smell gets so strong you can't really stand yourself.  Overall, it works well, but the smell is a bit stronger than I'd like."	"Works great, but smells a bit strong"	"neutral"
"The brush and product looks nice  but the color itself in ash is quite ugly.  I dont like the way the salt and pepper looked on my gray hair color.  I am not sure about the other colors.  I ended up using the brush and just mixing some brown eyeshadow powder instead. It worked better.  Not worth the cost in my opinion."	"The salt and pepper color looks like cigarette ash"	"bad"
"OMG this stuff works and is fantastic just after one use!!! I read about this product online and decided to order & give it a try because I have fine hair that is damaged so I needed something strong that will help repair it. I used this for the first time yesterday and WOW....Love, love, love it!! I can tell it immediately strengthen my hair and made it feel 100 xs stronger, fuller with LOTS of body and less prone to breakage once I rinsed and roller set. The results exceeded my expectations. This is by far hands down the best protein treatment I have ever used. I think it works better than aphogee's and Dudley's DRC protein treatment in my opinion and those both cost MORE than this one so go figure!! I was using aphogee but that has now been replaced with this!! I will continue to use this weekly because my hair loves protein. I did follow up with a good moisturizing conditioner afterwards to balance it out. My hair came out strong and healthy looking after. My hair is fine and relaxed so this will definitely be a sample for me. It's the best kept secret treatment for brittle and/or damaged hair. Highly recommend it for people with fine hair that is breaking and/or damaged due to relaxing and/or coloring. Like everyone said it's really expensive here so I didn't order this from Amazon bc its less expensive at the site the last customer put up (thanks for that btw) bc the shipping on Amazon for this is ridiculous!!! This product is definitely the TRUTH!!!!"	"Wonderful Product for damaged and/or Fine Hair"	"good"
"the bubbles work fine, but you have to use so much of the liquid and it's so watery. I'd say save your money and get a different brand, water it down yourself and consider a standard 12 oz bottle of less expensive bubble bath as  36 oz."	"very watered down"	"neutral"
"I bought this in an attempt to get oliva palermo locks.  I have no idea what is wrong with this product or what you are supposed to do with it.  My curls last maybe one minute.  I hate using hair spray but it doesn't even matter because by the time I reach for my hair spray the curl is out.  DON'T GET THIS."	"What.Happened?"	"bad"
"I got this at marshalls for fifteen dollars and was amazed at the smell and quality. It is so worth what you pay. Not only does this smell amazing but the scent lasts for hours."	"Amazing Smell"	"good"
"I like Evelyn Cosmetics product better. The cream itself is sticky and very thick and doesn't work well with hard bottle that you can't squeeze. I have hard time to get the cream out of bottle.it makes skin tighter and smoother and together with other measures (diet, massage with body brash and light exercise) gives some improvements, therefore I gave it 3 points and not 1.Don't expect miracles (must to say that that is true for ALL creams)."	"just OK"	"neutral"
"and this oil proves just that.  I generally use a brand called Essential Argan oil because it's 100% certified Organic Moroccan Argan oil. However, it's a bit expensive. So I came across this item and decided to give it a shot. Big mistake. The feel and texture is not the same. It made my face breakout in pimples and I've never had that problem with my previous brand. I'm going back to my old brand.Samantha:~)"	"You do get what you pay for"	"bad"
"this is great when you need that sexy feeling...the paper flower that emerges from the bomb is beautiful...the scent on the skin will drive your mate wild..."	"How to feel sexy"	"good"
"Had I never tried other tanning products, I'd probably rate this a four or five because it does impart a nice glow to skin. However, for a &#34;Medium/Dark&#34; tanning product, I'd say it should be labeled as &#34;Medium&#34; at best. For people with very pale skin, this product would probably work well as it doesn't make your skin dark, and therefore you wouldn't have to worry about streaks. The spray is a little tough to get a hang of. Too close and you're really just making streaks on your skin that you have to blend out, and that drip. Too far and the product just fills the air and barely does anything to your skin. I resorted to using it close and then blending with a mit. The tan that I got out of this was, for lack of a better word, translucent. In a dim room, I looked tan. In natural light, you could tell I had put a tanning spray over light skin. I'm an experienced tanner and sunless tanner. I exfoliate, use a mit, and can usually achieve a very even tan with any product. The results of this product were darker than Fake Bake, but I'd still use Fake Bake over this because it is easier, dries faster, and is much more even. My new favorite for a truly dark tan is St Moriz mousse in dark. Nothing beats it.Suggestions for use- the first time I used this, I used one spray down each limb. It wasn't dark at all. The second time, I sprayed up close and covered my limbs. It was a little darker, but once I showered, most of the tan was gone and it was still not a solid looking tan in natural light. If you're using this, use a lot!Overall- I won't throw this out. Maybe I'll use it as a backup. It would work to use if you're very pale and want to go out in a bathing suit, perhaps to darken your tan, but don't want to go out looking pale."	"Not very dark, not the most even"	"neutral"
"I think they changed the recipe on this.  Used it happily for 10 years but this bottle made my face itch like crazy.  Had to switch to a different brand of moisturizer."	"Neutrogena Healthy Defense Daily Liquid Moisturizer with Helioplex"	"bad"
"This gives great coverage without feeling heavy on your skin, I wear it everyday and my skin loves it, Will be repurchasing"	"Great BB cream"	"good"
"One of the annoying things that I've discovered about growing older is that things that should have been left in my past - like acne - not only stick around but sometimes get worse. Such is life.I don't have excessive acne, but I do battle breakouts on occasion, and my skin would never be described as clear and healthy. I've tried various products to alleviate acne. Most of them work somewhat but none of them has ever done the job consistently.I used the Clearasil Ultra Daily Face Wash for a couple of weeks on a trial basis. Here's my experience:I like the tube and cap design of the package. It's easy to store and easy to use. I also like the scent of this product. It has a light, pleasant scent that doesn't leave me smelling like I just took a bath in perfume. Best of all, the scent isn't girlie; my husband can use this wash.The consistency of this wash is odd and a bit off-putting. It's thick and has an almost mucous feel to it. It lathers on the skin ok, but then it takes forever to rinse off. I think I have to rinse my face for nearly five minutes to get all traces of this off my skin. I learned to be very careful and tie back my hair before using this because if I get it in my hair, it takes a while to rinse out.I find that my skin is quite smooth and soft after I use this. I like that. I was afraid that this wash would dry out my face (most products do). I don't see any increase in dryness, although my face often feels tight. I also find that some of my trouble areas (creases around my nose) are clearer after using this. Unfortunately, I also started getting some really large pimples in places on my face where I've never had them before. Pimples that take days to go away. It's such an odd experience to have a product that is supposed to help control the acne actually make the acne worse. I don't know if it's the consistency of the wash. Perhaps even with all the rinsing I'm still not removing all of it from my skin? I'm not sure, but after a couple of weeks, I've gone back to my old face cleansing routine.I think a tried and true rule applies to this product - some people will try it and love and some will try it with little or no success. It doesn't work for me."	"Washes the face but doesn't get rid of acne"	"neutral"
"Recently I learned a phrase - my hair has a wrinkle. Gosh, what are the teenage girls up to nowadays.Well, everyone seems to have a straightener.When my hair actually got a real wrinkle when I left certain part of it grow and pulled together for too long, it, yeah, had a wrinkle, this tool took less than 2 minutes to straighten it out.So how about some fancy curls? No luck. My hair got caught in the connecting parts many times, so I lost a few. And the side of the straightener gets very hot to handle correctly. The temperature dial is miserable."	"It straightens, it catches badly, it does not curl"	"bad"
"I've used the Nexxus spray leave-in conditionerNexxus Dualiste Color Protection Plus Intense Hydration, Leavein Conditioning Spray, 7.5 Fluid Ouncefor years as a detangler more than for the conditioner. Two light sprays works perfectly, anymore and my hair (fine, below the shoulder, highlighted) is weighed down and limp. So I was intrigued to try this new Nexxus leave-in conditioner purporting to be \"weightless\".The pump design delivers measured amounts perfectly. One for dry hair, provides a quick texture pick-me-up. The recommended two pumps for damp hair is exactly right for my rather standard head of hair. It doesn't work as a detangler and isn't meant to, but does exactly what it claims as a conditioner.It provides weightless volume without the typical feathered, or frizzy affect so typical with volume-enhancing products. My hair feels healthy, and strong with no fly-a-ways, making blow-drying and styling a breeze. Also, provides a natural silky shine. Importantly, after daily use, there is no build-up. Thus, there is no need to buy additional shampoo products to remove built-up conditioning product. This is an excellent new product from Nexxus, a little pricey, so hopefully Amazon can work a deal with Nexxus for a more reasonable price point."	"Excellent Weightless Conditioner without Build-up"	"good"
"This is a nice set but some of the larger brushes do shed a lot. So I've avoided using them. I prefer just to use this set for the smaller brushes for eyeshadow."	"bristles fall out"	"neutral"
"Well it works to reduce oiliness, but at the cost of leaving your hair feeling weird, sort of dull and stiff, like you put baby powder in it.  I have very straight and fine hair, so this may vary by hair type.It has a very strong perfume to it, annoyingly strong.I had to take another shower after trying to live with the smell and feel for a couple of hours.  I had hoped that this will help with freshening up my bangs at the end of the day but it was a no go."	"I think I would rather have dirty hair then hair that smells like an air freshener and feels like I have baby powder in it."	"bad"
"Great for everyday use. Scent is pleasing and masculine. Dandruff control or not, this is a great product for anyone."	"Great"	"good"
"I received this trial product through the Vine Program as was curious if it would make a difference to my hair using curling Iron, blow dying my hair and playing golf in the summer sun. I have not noticed too much difference as at my age of 87 I still have lots of hair and wanted to protect it in some way.  I found using the spray nozzle was uncomfortable to use I seemed to be spraying into the air some of the time.  My thumb would slip off and would try it with one finger.  I could give my hair the mist but used too much the first time.  My hair sort of clumpped together if that is a word.  It looked like it needed another washing so used a smaller amount after that.  It is not something I though made too much of a difference and so eased up on using the curling iron and only partially blow dry my hair.  That seemed to be the answer so am hoping it will work this summer when playing golf in the sun.  That is when I need the protection so give this product a try and use it in ways that helps preserve your hair for a long tme."	"Spray to Protect"	"neutral"
"I am so displeased with this product that I am earnestly baffled that it has any positive reviews.First, it's huge and more than half the size is the plastic frame part. The mirror itself is small, smaller than an average hand mirror. Worse, the plastic isn't nice plastic. It looks ugly and it doesn't feel sturdy.Mine also has a message *printed* into the plastic that says \"Rotate mirror up to close side panels\" - only this model doesn't actually have side panels. That screams cheap to me. Like the company used leftover parts to make this.There is a little slider that is supposed to change the light for day, office, home, etc. But just moves a colored film in front of the light bulbs. Not helpful at all. The \"office\" one is particularly bad, because the film is blue-green. No office looks like that. Perhaps if they called it \"aquarium\"...The slider and films also feel flimsy and rickety; the sliding motion isn't smooth.The mirror has a 5x side, you can rotate it so that side is facing front. But, like most magnifying mirrors, you have to be in the exact right spot to get a clear picture. Unfortunately, that spot is about 1 inch away from the mirror... which means the light bulbs are right next to you, shining in your eyes and not lighting your face evenly.The lights are really bright. Other than that, this product has no positive features. I'd rather use ANY other mirror in my house than this one."	"ugly and cheaply made"	"bad"
"Love this shampoo- my dog smelled absolutely amazing after his bath.  I think I found  &#34;gold&#34;- will be buying many more of this product."	"Amazing"	"good"
